id-JP2009220669A vector-[(0, 0.0008532614), (1, 0.0008532614), (2, 0.0008532614), (3, 0.0008532614), (4, 0.0008532614), (5, 0.0008532614), (6, 0.0008532614), (7, 0.0008532614), (8, 0.0008532614), (9, 0.0008532614), (10, 0.0008532614), (11, 0.0008532614), (12, 0.0008532614), (13, 0.0008532614), (14, 0.0008532614), (15, 0.0008532614), (16, 0.0008532614), (17, 0.0008532614), (18, 0.0008532614), (19, 0.0008532614), (20, 0.0008532614), (21, 0.5405472), (22, 0.44068107), (23, 0.0008532614)]
id-JP2009219189A vector-[(0, 0.0005213282), (1, 0.0005213282), (2, 0.0005213282), (3, 0.0005213282), (4, 0.0005213282), (5, 0.0005213282), (6, 0.0005213282), (7, 0.0005213282), (8, 0.0005213282), (9, 0.0005213282), (10, 0.0005213282), (11, 0.0005213282), (12, 0.12764996), (13, 0.0005213282), (14, 0.0005213282), (15, 0.0005213282), (16, 0.0005213282), (17, 0.0005213282), (18, 0.0005213282), (19, 0.0005213282), (20, 0.0005213282), (21, 0.8608808), (22, 0.0005213282), (23, 0.0005213282)]
id-EP2105366A2 vector-[(0, 0.0011907048), (1, 0.0011907048), (2, 0.0011907048), (3, 0.0011907048), (4, 0.0011907048), (5, 0.0011907048), (6, 0.3658394), (7, 0.0011907048), (8, 0.332195), (9, 0.0011907048), (10, 0.0011907048), (11, 0.20449403), (12, 0.0011907048), (13, 0.0011907048), (14, 0.0011907048), (15, 0.0011907048), (16, 0.0011907048), (17, 0.073657505), (18, 0.0011907048), (19, 0.0011907048), (20, 0.0011907048), (21, 0.0011907048), (22, 0.0011907048), (23, 0.0011907048)]
id-US8392030B2 vector-[(0, 0.0005634165), (1, 0.0005634165), (2, 0.0005634165), (3, 0.0005634165), (4, 0.0005634165), (5, 0.715805), (6, 0.0005634165), (7, 0.0005634165), (8, 0.0005634165), (9, 0.0005634165), (10, 0.0005634165), (11, 0.17908067), (12, 0.0005634165), (13, 0.0005634165), (14, 0.0005634165), (15, 0.0005634165), (16, 0.0005634165), (17, 0.0005634165), (18, 0.0005634165), (19, 0.0005634165), (20, 0.0005634165), (21, 0.0005634165), (22, 0.0005634165), (23, 0.09328255)]
id-US8798875B2 vector-[(0, 0.0008171558), (1, 0.0008171558), (2, 0.0008171558), (3, 0.46024373), (4, 0.0008171558), (5, 0.0008171558), (6, 0.0008171558), (7, 0.0008171558), (8, 0.0008171558), (9, 0.0008171558), (10, 0.0008171558), (11, 0.0008171558), (12, 0.0008171558), (13, 0.0008171558), (14, 0.0008171558), (15, 0.0008171558), (16, 0.0008171558), (17, 0.0008171558), (18, 0.0008171558), (19, 0.0008171558), (20, 0.0008171558), (21, 0.5217788), (22, 0.0008171558), (23, 0.0008171558)]
id-US20090267348A1 vector-[(0, 0.0027786053), (1, 0.0027786053), (2, 0.0027786053), (3, 0.0027786053), (4, 0.0027786053), (5, 0.0027786053), (6, 0.0027786053), (7, 0.0027786053), (8, 0.0027786053), (9, 0.0027786053), (10, 0.0027786053), (11, 0.70040745), (12, 0.0027786053), (13, 0.0027786053), (14, 0.0027786053), (15, 0.0027786053), (16, 0.0027786053), (17, 0.0027786053), (18, 0.0027786053), (19, 0.0027786053), (20, 0.0027786053), (21, 0.0027786053), (22, 0.23846324), (23, 0.0027786053)]
id-JP2009248822A vector-[(0, 0.0004735713), (1, 0.0004735713), (2, 0.0004735713), (3, 0.0004735713), (4, 0.0004735713), (5, 0.0004735713), (6, 0.0004735713), (7, 0.0004735713), (8, 0.0004735713), (9, 0.0004735713), (10, 0.0004735713), (11, 0.0004735713), (12, 0.0004735713), (13, 0.0004735713), (14, 0.0004735713), (15, 0.0004735713), (16, 0.0004735713), (17, 0.0004735713), (18, 0.0004735713), (19, 0.0004735713), (20, 0.0004735713), (21, 0.98910785), (22, 0.0004735713), (23, 0.00047357133)]
id-US20090256514A1 vector-[(0, 0.0008699074), (1, 0.0008699074), (2, 0.0008699074), (3, 0.0008699074), (4, 0.0008699074), (5, 0.0008699074), (6, 0.0008699074), (7, 0.0008699074), (8, 0.0008699074), (9, 0.0008699074), (10, 0.0008699074), (11, 0.048363682), (12, 0.0008699074), (13, 0.16271083), (14, 0.0008699074), (15, 0.0008699074), (16, 0.0008699074), (17, 0.0008699074), (18, 0.53410643), (19, 0.0008699074), (20, 0.0008699074), (21, 0.23742092), (22, 0.0008699074), (23, 0.0008699074)]
id-US8145374B2 vector-[(0, 0.00085051317), (1, 0.00085051317), (2, 0.00085051317), (3, 0.00085051317), (4, 0.00085051317), (5, 0.00085051317), (6, 0.00085051317), (7, 0.00085051317), (8, 0.00085051317), (9, 0.00085051317), (10, 0.00085051317), (11, 0.00085051317), (12, 0.00085051317), (13, 0.00085051317), (14, 0.00085051317), (15, 0.00085051317), (16, 0.00085051317), (17, 0.00085051317), (18, 0.00085051317), (19, 0.00085051317), (20, 0.00085051317), (21, 0.98043823), (22, 0.00085051317), (23, 0.00085051317)]
id-US20110125354A1 vector-[(0, 0.00094729965), (1, 0.34360364), (2, 0.00094729965), (3, 0.00094729965), (4, 0.00094729965), (5, 0.11734564), (6, 0.00094729965), (7, 0.00094729965), (8, 0.32055867), (9, 0.00094729965), (10, 0.00094729965), (11, 0.00094729965), (12, 0.00094729965), (13, 0.00094729965), (14, 0.00094729965), (15, 0.00094729965), (16, 0.00094729965), (17, 0.00094729965), (18, 0.00094729965), (19, 0.00094729965), (20, 0.00094729965), (21, 0.19954608), (22, 0.00094729965), (23, 0.00094729965)]
id-JP2009273295A vector-[(0, 0.00063247606), (1, 0.00063247606), (2, 0.00063247606), (3, 0.00063247606), (4, 0.00063247606), (5, 0.00063247606), (6, 0.00063247606), (7, 0.00063247606), (8, 0.00063247606), (9, 0.00063247606), (10, 0.00063247606), (11, 0.00063247606), (12, 0.20596795), (13, 0.00063247606), (14, 0.00063247606), (15, 0.00063247606), (16, 0.00063247606), (17, 0.00063247606), (18, 0.00063247606), (19, 0.00063247606), (20, 0.00063247606), (21, 0.04942874), (22, 0.73132133), (23, 0.00063247606)]
id-WO2009144112A1 vector-[(0, 0.0012647948), (1, 0.0012647948), (2, 0.0012647948), (3, 0.0012647948), (4, 0.0012647948), (5, 0.0012647948), (6, 0.0012647948), (7, 0.0012647948), (8, 0.0012647948), (9, 0.0012647948), (10, 0.0012647948), (11, 0.0012647948), (12, 0.0012647948), (13, 0.0012647948), (14, 0.14280689), (15, 0.0012647948), (16, 0.0012647948), (17, 0.0012647948), (18, 0.0012647948), (19, 0.0012647948), (20, 0.0012647948), (21, 0.8293676), (22, 0.0012647948), (23, 0.0012647948)]
id-US8400084B2 vector-[(0, 0.00053453486), (1, 0.00053453486), (2, 0.00053453486), (3, 0.00053453486), (4, 0.00053453486), (5, 0.00053453486), (6, 0.00053453486), (7, 0.00053453486), (8, 0.00053453486), (9, 0.00053453486), (10, 0.00053453486), (11, 0.00053453486), (12, 0.00053453486), (13, 0.024573976), (14, 0.00053453486), (15, 0.00053453486), (16, 0.00053453486), (17, 0.00053453486), (18, 0.00053453486), (19, 0.00053453486), (20, 0.00053453486), (21, 0.96366626), (22, 0.00053453486), (23, 0.00053453486)]
